№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
324,,Златоуст,Челябинская область,Уральский,174985,1754,1865,Златоустовский завод  (до 1811)
325,,Злынка,Брянская область,Центральный,5507,1702,1925,
326,,Змеиногорск,Алтайский край,Сибирский,10569,1736,1952,
327,,Знаменск,Астраханская область,Южный,29357,1948,1962,Капустин Яр-1  (до 1993)
328,,Зубцов,Тверская область,Центральный,6937,1216,1216,
329,,Зуевка,Кировская область,Приволжский,11198,1899,1944,
330,,Ивангород,Ленинградская область,Северо-Западный,9797,1492,1954,
331,,Иваново,Ивановская область,Центральный,409277,1561,1871,Иваново-Вознесенск  (до 1932)
332,,Ивантеевка,Московская область,Центральный,58594,1564,1938,
333,,Ивдель,Свердловская область,Уральский,17764,1831,1943,Никито-Ивдель
